UPC,ISBN-10,ISBN-13,Book Title,Author,BookstoScrape URL,BooksRun ISBN,Source Price (£),Competitor Price (£),Discount Applied,Final Price (£),Status
2597b5a345f45e1b,1942872763,9781942872764,The Dirty Little Secrets of Getting Your Dream Job,Don Raskin,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,9781942872764,33.34,4.13,10%,3.72,SUCCESS
11809b1d323b3057,1626923027,9781626923027,orange: The Complete Collection 1,Ichigo Takano,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,9781626923027,48.41,5.59,10%,5.03,SUCCESS
b6ee99bcf06fc91f,1608866874,9781608866878,Lumberjanes Vol. 1,"Noelle Stevenson, Grace Ellis",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,9781608866878,45.61,8.76,10%,7.88,SUCCESS
de3f25248ba0789f,0143131834,9780143131830,Thomas Jefferson and the Tripoli Pirates,"Brian Kilmeade, Don Yaeger",https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,9780143131830,59.64,4.21,10%,3.79,SUCCESS
0651062381f0636a,1594632413,9781594632419,The Regional Office is Under Attack!,Manuel Gonzales,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,9781594632419,51.36,4.85,10%,4.37,SUCCESS
c7b5183f4d1d4efe,0425200477,9780425200476,The Murder of Roger Ackroyd,Agatha Christie,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,9780425200476,44.1,4.01,10%,3.61,SUCCESS
08db62f24627e71f,1503934489,9781503934481,The Matchmaker's Playbook,Rachel Van Dyken,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,9781503934481,55.85,3.15,10%,2.83,SUCCESS
56e4f9eab2e8e674,1591848091,9781591848097,The 10% Entrepreneur,Patrick J. McGinnis,https://books.toscrape.com/catalogue/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,9781591848097,27.55,5.41,10%,4.87,SUCCESS
b53db2271c9624f7,1590525132,9781590525135,Redeeming Love,Francine Rivers,https://books.toscrape.com/catalogue/redeeming-love_826/index.html,9781590525135,20.47,7.79,10%,7.01,SUCCESS
3fb15ace50d6142b,0743246985,9780743246989,Wild Swans,Jung Chang,https://books.toscrape.com/catalogue/wild-swans_782/index.html,9780743246989,14.36,2.66,10%,2.39,SUCCESS
1528279aec1f3dce,1250085470,9781250085474,The Star-Touched Queen,Roshani Chokshi,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html,9781250085474,46.02,5.69,10%,5.12,SUCCESS
52cf2a5933ec5d8f,1628996773,9781628996777,The Marriage of Opposites,Alice Hoffman,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,9781628996777,28.08,5.61,10%,5.05,SUCCESS
f72f61ad6a5f12ed,1400052173,9781400052172,The Immortal Life of Henrietta Lacks,Rebecca Skloot,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html,9781400052172,40.67,3.15,10%,2.83,SUCCESS
847935fc68707426,1509859705,9781509859702,The Guilty: a Will Robie Novel 4,David Baldacci,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html,9781509859702,13.82,5.37,10%,4.83,SUCCESS
dc6f688b82e42a5b,1442496002,9781442496002,The Bane Chronicles,"Cassandra Clare, Sarah Rees Brennan, Maureen Johnson",https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,9781442496002,44.73,4.43,10%,3.99,SUCCESS
